Region X Date,target,cases
Argentina X 1/26/20,0,0
Argentina X 1/27/20,0,0
Argentina X 1/28/20,0,0
Argentina X 1/29/20,0,0
Argentina X 1/30/20,0,0
Argentina X 1/31/20,0,0
Argentina X 2/1/20,0,0
Argentina X 2/2/20,0,0
Argentina X 2/3/20,0,0
Argentina X 2/4/20,0,0
Argentina X 2/5/20,0,0
Argentina X 2/6/20,0,0
Argentina X 2/7/20,0,0
Argentina X 2/8/20,0,0
Argentina X 2/9/20,0,0
Argentina X 2/10/20,0,0
Argentina X 2/11/20,0,0
Argentina X 2/12/20,0,0
Argentina X 2/13/20,0,0
Argentina X 2/14/20,0,0
Argentina X 2/15/20,0,0
Argentina X 2/16/20,0,0
Argentina X 2/17/20,0,0
Argentina X 2/18/20,0,0
Argentina X 2/19/20,0,0
Argentina X 2/20/20,0,0
Argentina X 2/21/20,0,0
Argentina X 2/22/20,0,0
Argentina X 2/23/20,0,0
Argentina X 2/24/20,0,0
Argentina X 2/25/20,0,0
Argentina X 2/26/20,0,0
Argentina X 2/27/20,0,0
Argentina X 2/28/20,0,0
Argentina X 2/29/20,0,0
Argentina X 3/1/20,0,0
Argentina X 3/2/20,0,0
Argentina X 3/3/20,0,1
Argentina X 3/4/20,0,1
Argentina X 3/5/20,0,1
Armenia X 1/22/20,0,0
Armenia X 1/23/20,0,0
Armenia X 1/24/20,0,0
Armenia X 1/25/20,0,0
Armenia X 1/26/20,0,0
Armenia X 1/27/20,0,0
Armenia X 1/28/20,0,0
Armenia X 1/29/20,0,0
Armenia X 1/30/20,0,0
Armenia X 1/31/20,0,0
Armenia X 2/1/20,0,0
Armenia X 2/2/20,0,0
Armenia X 2/3/20,0,0
Armenia X 2/4/20,0,0
Armenia X 2/5/20,0,0
Armenia X 2/6/20,0,0
Armenia X 2/7/20,0,0
Armenia X 2/8/20,0,0
Armenia X 2/9/20,0,0
Armenia X 2/10/20,0,0
Armenia X 2/11/20,0,0
Armenia X 2/12/20,0,0
Armenia X 2/13/20,0,0
Armenia X 2/14/20,0,0
Armenia X 2/15/20,0,0
Armenia X 2/16/20,0,0
Armenia X 2/17/20,0,0
Armenia X 2/18/20,0,0
Armenia X 2/19/20,0,0
Armenia X 2/20/20,0,0
Armenia X 2/21/20,0,0
Armenia X 2/22/20,0,0
Armenia X 2/23/20,0,0
Armenia X 2/24/20,0,0
Armenia X 2/25/20,0,0
Armenia X 2/26/20,0,0
Armenia X 2/27/20,0,0
Armenia X 2/28/20,0,0
Armenia X 2/29/20,0,0
Armenia X 3/1/20,0,1
Armenia X 3/2/20,0,1
Armenia X 3/3/20,0,1
Armenia X 3/4/20,0,1
Armenia X 3/5/20,0,1
Australia X 1/22/20,0,0
Australia X 1/23/20,0,0
Australia X 1/24/20,0,0
Australia X 1/25/20,0,0
Australia X 1/26/20,0,4
Australia X 1/27/20,0,5
Australia X 1/28/20,0,5
Australia X 1/29/20,0,6
Australia X 1/30/20,0,9
Australia X 1/31/20,0,9
Australia X 2/1/20,0,12
Australia X 2/2/20,0,12
Australia X 2/3/20,0,12
Australia X 2/4/20,0,13
Australia X 2/5/20,0,13
Australia X 2/6/20,0,14
Australia X 2/7/20,0,15
Australia X 2/8/20,0,15
Australia X 2/9/20,0,15
Australia X 2/10/20,0,15
Australia X 2/11/20,0,15
Australia X 2/12/20,0,15
Australia X 2/13/20,0,15
Australia X 2/14/20,0,15
Australia X 2/15/20,0,15
Australia X 2/16/20,0,15
Australia X 2/17/20,0,15
Australia X 2/18/20,0,15
Australia X 2/19/20,0,15
Australia X 2/20/20,0,15
Australia X 2/21/20,0,19
Australia X 2/22/20,0,22
Australia X 2/23/20,0,22
Australia X 2/24/20,0,22
Australia X 2/25/20,0,22
Australia X 2/26/20,0,22
Australia X 2/27/20,0,23
Australia X 2/28/20,0,23
Australia X 2/29/20,0,25
Australia X 3/1/20,1,27
Australia X 3/2/20,1,30
Australia X 3/3/20,1,39
Australia X 3/4/20,2,52
Australia X 3/5/20,2,55
Austria X 1/22/20,0,0
Austria X 1/23/20,0,0
Austria X 1/24/20,0,0
Austria X 1/25/20,0,0
Austria X 1/26/20,0,0
Austria X 1/27/20,0,0
Austria X 1/28/20,0,0
Austria X 1/29/20,0,0
Austria X 1/30/20,0,0
Austria X 1/31/20,0,0
Austria X 2/1/20,0,0
Austria X 2/2/20,0,0
Austria X 2/3/20,0,0
Austria X 2/4/20,0,0
Austria X 2/5/20,0,0
Austria X 2/6/20,0,0
Austria X 2/7/20,0,0
Austria X 2/8/20,0,0
Austria X 2/9/20,0,0
Austria X 2/10/20,0,0
Austria X 2/11/20,0,0
Austria X 2/12/20,0,0
Austria X 2/13/20,0,0
Austria X 2/14/20,0,0
Austria X 2/15/20,0,0
Austria X 2/16/20,0,0
Austria X 2/17/20,0,0
Austria X 2/18/20,0,0
Austria X 2/19/20,0,0
Austria X 2/20/20,0,0
Austria X 2/21/20,0,0
Austria X 2/22/20,0,0
Austria X 2/23/20,0,0
Austria X 2/24/20,0,0
Austria X 2/25/20,0,2
Austria X 2/26/20,0,2
Austria X 2/27/20,0,3
Austria X 2/28/20,0,3
Austria X 2/29/20,0,9
Austria X 3/1/20,0,14
Austria X 3/2/20,0,18
Austria X 3/3/20,0,21
Austria X 3/4/20,0,29
Austria X 3/5/20,0,41
Azerbaijan X 1/22/20,0,0
Azerbaijan X 1/23/20,0,0
Azerbaijan X 1/24/20,0,0
Azerbaijan X 1/25/20,0,0
Azerbaijan X 1/26/20,0,0
Azerbaijan X 1/27/20,0,0
Azerbaijan X 1/28/20,0,0
Azerbaijan X 1/29/20,0,0
Azerbaijan X 1/30/20,0,0
Azerbaijan X 1/31/20,0,0
Azerbaijan X 2/1/20,0,0
Azerbaijan X 2/2/20,0,0
Azerbaijan X 2/3/20,0,0
Azerbaijan X 2/4/20,0,0
Azerbaijan X 2/5/20,0,0
Azerbaijan X 2/6/20,0,0
Azerbaijan X 2/7/20,0,0
Azerbaijan X 2/8/20,0,0
Azerbaijan X 2/9/20,0,0
Azerbaijan X 2/10/20,0,0
Azerbaijan X 2/11/20,0,0
Azerbaijan X 2/12/20,0,0
Azerbaijan X 2/13/20,0,0
Azerbaijan X 2/14/20,0,0
Azerbaijan X 2/15/20,0,0
Azerbaijan X 2/16/20,0,0
Azerbaijan X 2/17/20,0,0
Azerbaijan X 2/18/20,0,0
Azerbaijan X 2/19/20,0,0
Azerbaijan X 2/20/20,0,0
Azerbaijan X 2/21/20,0,0
Azerbaijan X 2/22/20,0,0
Azerbaijan X 2/23/20,0,0
Azerbaijan X 2/24/20,0,0
Azerbaijan X 2/25/20,0,0
Azerbaijan X 2/26/20,0,0
Azerbaijan X 2/27/20,0,0
Azerbaijan X 2/28/20,0,0
Azerbaijan X 2/29/20,0,0
Azerbaijan X 3/1/20,0,3
Azerbaijan X 3/2/20,0,3
Azerbaijan X 3/3/20,0,3
Azerbaijan X 3/4/20,0,3
Azerbaijan X 3/5/20,0,6
Bahrain X 1/22/20,0,0
Bahrain X 1/23/20,0,0
Bahrain X 1/24/20,0,0
Bahrain X 1/25/20,0,0
Bahrain X 1/26/20,0,0
Bahrain X 1/27/20,0,0
Bahrain X 1/28/20,0,0
Bahrain X 1/29/20,0,0
Bahrain X 1/30/20,0,0
Bahrain X 1/31/20,0,0
Bahrain X 2/1/20,0,0
Bahrain X 2/2/20,0,0
Bahrain X 2/3/20,0,0
Bahrain X 2/4/20,0,0
Bahrain X 2/5/20,0,0
Bahrain X 2/6/20,0,0
Bahrain X 2/7/20,0,0
Bahrain X 2/8/20,0,0
Bahrain X 2/9/20,0,0
Bahrain X 2/10/20,0,0
Bahrain X 2/11/20,0,0
Bahrain X 2/12/20,0,0
Bahrain X 2/13/20,0,0
Bahrain X 2/14/20,0,0
Bahrain X 2/15/20,0,0
Bahrain X 2/16/20,0,0
Bahrain X 2/17/20,0,0
Bahrain X 2/18/20,0,0
Bahrain X 2/19/20,0,0
Bahrain X 2/20/20,0,0
Bahrain X 2/21/20,0,0
Bahrain X 2/22/20,0,0
Bahrain X 2/23/20,0,0
Bahrain X 2/24/20,0,1
Bahrain X 2/25/20,0,23
Bahrain X 2/26/20,0,33
Bahrain X 2/27/20,0,33
Bahrain X 2/28/20,0,36
Bahrain X 2/29/20,0,41
Bahrain X 3/1/20,0,47
Bahrain X 3/2/20,0,49
Bahrain X 3/3/20,0,49
Bahrain X 3/4/20,0,52
Bahrain X 3/5/20,0,55
Bangladesh X 1/22/20,0,0
Bangladesh X 1/23/20,0,0
Bangladesh X 1/24/20,0,0
Bangladesh X 1/25/20,0,0
Bangladesh X 1/26/20,0,0
Bangladesh X 1/27/20,0,0
Bangladesh X 1/28/20,0,0
Bangladesh X 1/29/20,0,0
Bangladesh X 1/30/20,0,0
Bangladesh X 1/31/20,0,0
Bangladesh X 2/1/20,0,0
Bangladesh X 2/2/20,0,0
Bangladesh X 2/3/20,0,0
Bangladesh X 2/4/20,0,0
Bangladesh X 2/5/20,0,0
Bangladesh X 2/6/20,0,0
Bangladesh X 2/7/20,0,0
Bangladesh X 2/8/20,0,0
Bangladesh X 2/9/20,0,0
Bangladesh X 2/10/20,0,0
Bangladesh X 2/11/20,0,0
Bangladesh X 2/12/20,0,0
Bangladesh X 2/13/20,0,0
Bangladesh X 2/14/20,0,0
Bangladesh X 2/15/20,0,0
Bangladesh X 2/16/20,0,0
Bangladesh X 2/17/20,0,0
Bangladesh X 2/18/20,0,0
Bangladesh X 2/19/20,0,0
Bangladesh X 2/20/20,0,0
Bangladesh X 2/21/20,0,0
Bangladesh X 2/22/20,0,0
Bangladesh X 2/23/20,0,0
Bangladesh X 2/24/20,0,0
Bangladesh X 2/25/20,0,0
Bangladesh X 2/26/20,0,0
Bangladesh X 2/27/20,0,0
Bangladesh X 2/28/20,0,0
Bangladesh X 2/29/20,0,0
Bangladesh X 3/1/20,0,0
Bangladesh X 3/2/20,0,0
Bangladesh X 3/3/20,0,0
Bangladesh X 3/4/20,0,0
Bangladesh X 3/5/20,0,0
Belarus X 1/22/20,0,0
Belarus X 1/23/20,0,0
Belarus X 1/24/20,0,0
Belarus X 1/25/20,0,0
Belarus X 1/26/20,0,0
Belarus X 1/27/20,0,0
Belarus X 1/28/20,0,0
Belarus X 1/29/20,0,0
Belarus X 1/30/20,0,0
Belarus X 1/31/20,0,0
Belarus X 2/1/20,0,0
Belarus X 2/2/20,0,0
Belarus X 2/3/20,0,0
Belarus X 2/4/20,0,0
Belarus X 2/5/20,0,0
Belarus X 2/6/20,0,0
Belarus X 2/7/20,0,0
Belarus X 2/8/20,0,0
Belarus X 2/9/20,0,0
Belarus X 2/10/20,0,0
Belarus X 2/11/20,0,0
Belarus X 2/12/20,0,0
Belarus X 2/13/20,0,0
Belarus X 2/14/20,0,0
Belarus X 2/15/20,0,0
Belarus X 2/16/20,0,0
Belarus X 2/17/20,0,0
Belarus X 2/18/20,0,0
Belarus X 2/19/20,0,0
Belarus X 2/20/20,0,0
Belarus X 2/21/20,0,0
Belarus X 2/22/20,0,0
Belarus X 2/23/20,0,0
Belarus X 2/24/20,0,0
Belarus X 2/25/20,0,0
Belarus X 2/26/20,0,0
Belarus X 2/27/20,0,0
Belarus X 2/28/20,0,1
Belarus X 2/29/20,0,1
Belarus X 3/1/20,0,1
Belarus X 3/2/20,0,1
Belarus X 3/3/20,0,1
Belarus X 3/4/20,0,6
Belarus X 3/5/20,0,6
Belgium X 1/22/20,0,0
Belgium X 1/23/20,0,0
Belgium X 1/24/20,0,0
Belgium X 1/25/20,0,0
Belgium X 1/26/20,0,0
Belgium X 1/27/20,0,0
Belgium X 1/28/20,0,0
Belgium X 1/29/20,0,0
Belgium X 1/30/20,0,0
Belgium X 1/31/20,0,0
Belgium X 2/1/20,0,0
Belgium X 2/2/20,0,0
Belgium X 2/3/20,0,0
Belgium X 2/4/20,0,1
Belgium X 2/5/20,0,1
Belgium X 2/6/20,0,1
Belgium X 2/7/20,0,1
Belgium X 2/8/20,0,1
Belgium X 2/9/20,0,1
Belgium X 2/10/20,0,1
Belgium X 2/11/20,0,1
Belgium X 2/12/20,0,1
Belgium X 2/13/20,0,1
Belgium X 2/14/20,0,1
Belgium X 2/15/20,0,1
Belgium X 2/16/20,0,1
Belgium X 2/17/20,0,1
Belgium X 2/18/20,0,1
Belgium X 2/19/20,0,1
Belgium X 2/20/20,0,1
Belgium X 2/21/20,0,1
Belgium X 2/22/20,0,1
Belgium X 2/23/20,0,1
Belgium X 2/24/20,0,1
Belgium X 2/25/20,0,1
Belgium X 2/26/20,0,1
Belgium X 2/27/20,0,1
Belgium X 2/28/20,0,1
Belgium X 2/29/20,0,1
Belgium X 3/1/20,0,2
Belgium X 3/2/20,0,8
Belgium X 3/3/20,0,13
Belgium X 3/4/20,0,23
Belgium X 3/5/20,0,50
Bhutan X 1/22/20,0,0
Bhutan X 1/23/20,0,0
Bhutan X 1/24/20,0,0
Bhutan X 1/25/20,0,0
Bhutan X 1/26/20,0,0
Bhutan X 1/27/20,0,0
Bhutan X 1/28/20,0,0
Bhutan X 1/29/20,0,0
Bhutan X 1/30/20,0,0
Bhutan X 1/31/20,0,0
Bhutan X 2/1/20,0,0
Bhutan X 2/2/20,0,0
Bhutan X 2/3/20,0,0
Bhutan X 2/4/20,0,0
Bhutan X 2/5/20,0,0
Bhutan X 2/6/20,0,0
Bhutan X 2/7/20,0,0
Bhutan X 2/8/20,0,0
Bhutan X 2/9/20,0,0
Bhutan X 2/10/20,0,0
Bhutan X 2/11/20,0,0
Bhutan X 2/12/20,0,0
Bhutan X 2/13/20,0,0
Bhutan X 2/14/20,0,0
Bhutan X 2/15/20,0,0
Bhutan X 2/16/20,0,0
Bhutan X 2/17/20,0,0
Bhutan X 2/18/20,0,0
Bhutan X 2/19/20,0,0
Bhutan X 2/20/20,0,0
Bhutan X 2/21/20,0,0
Bhutan X 2/22/20,0,0
Bhutan X 2/23/20,0,0
Bhutan X 2/24/20,0,0
Bhutan X 2/25/20,0,0
Bhutan X 2/26/20,0,0
Bhutan X 2/27/20,0,0
Bhutan X 2/28/20,0,0
Bhutan X 2/29/20,0,0
Bhutan X 3/1/20,0,0
Bhutan X 3/2/20,0,0
Bhutan X 3/3/20,0,0
Bhutan X 3/4/20,0,0
Bhutan X 3/5/20,0,0
Bolivia X 1/22/20,0,0
Bolivia X 1/23/20,0,0
Bolivia X 1/24/20,0,0
Bolivia X 1/25/20,0,0
Bolivia X 1/26/20,0,0
Bolivia X 1/27/20,0,0
Bolivia X 1/28/20,0,0
Bolivia X 1/29/20,0,0
Bolivia X 1/30/20,0,0
Bolivia X 1/31/20,0,0
Bolivia X 2/1/20,0,0
Bolivia X 2/2/20,0,0
Bolivia X 2/3/20,0,0
Bolivia X 2/4/20,0,0
Bolivia X 2/5/20,0,0
Bolivia X 2/6/20,0,0
Bolivia X 2/7/20,0,0
Bolivia X 2/8/20,0,0
Bolivia X 2/9/20,0,0
Bolivia X 2/10/20,0,0
Bolivia X 2/11/20,0,0
Bolivia X 2/12/20,0,0
Bolivia X 2/13/20,0,0
Bolivia X 2/14/20,0,0
Bolivia X 2/15/20,0,0
Bolivia X 2/16/20,0,0
Bolivia X 2/17/20,0,0
Bolivia X 2/18/20,0,0
Bolivia X 2/19/20,0,0
Bolivia X 2/20/20,0,0
Bolivia X 2/21/20,0,0
Bolivia X 2/22/20,0,0
Bolivia X 2/23/20,0,0
Bolivia X 2/24/20,0,0
Bolivia X 2/25/20,0,0
Bolivia X 2/26/20,0,0
Bolivia X 2/27/20,0,0
Bolivia X 2/28/20,0,0
Bolivia X 2/29/20,0,0
Bolivia X 3/1/20,0,0
Bolivia X 3/2/20,0,0
Bolivia X 3/3/20,0,0
Bolivia X 3/4/20,0,0
Bolivia X 3/5/20,0,0
Bosnia and Herzegovina X 1/22/20,0,0
Bosnia and Herzegovina X 1/23/20,0,0
Bosnia and Herzegovina X 1/24/20,0,0
Bosnia and Herzegovina X 1/25/20,0,0
Bosnia and Herzegovina X 1/26/20,0,0
Bosnia and Herzegovina X 1/27/20,0,0
Bosnia and Herzegovina X 1/28/20,0,0
Bosnia and Herzegovina X 1/29/20,0,0
Bosnia and Herzegovina X 1/30/20,0,0
Bosnia and Herzegovina X 1/31/20,0,0
Bosnia and Herzegovina X 2/1/20,0,0
Bosnia and Herzegovina X 2/2/20,0,0
Bosnia and Herzegovina X 2/3/20,0,0
Bosnia and Herzegovina X 2/4/20,0,0
Bosnia and Herzegovina X 2/5/20,0,0
Bosnia and Herzegovina X 2/6/20,0,0
Bosnia and Herzegovina X 2/7/20,0,0
Bosnia and Herzegovina X 2/8/20,0,0
Bosnia and Herzegovina X 2/9/20,0,0
Bosnia and Herzegovina X 2/10/20,0,0
Bosnia and Herzegovina X 2/11/20,0,0
Bosnia and Herzegovina X 2/12/20,0,0
Bosnia and Herzegovina X 2/13/20,0,0
Bosnia and Herzegovina X 2/14/20,0,0
Bosnia and Herzegovina X 2/15/20,0,0
Bosnia and Herzegovina X 2/16/20,0,0
Bosnia and Herzegovina X 2/17/20,0,0
Bosnia and Herzegovina X 2/18/20,0,0
Bosnia and Herzegovina X 2/19/20,0,0
Bosnia and Herzegovina X 2/20/20,0,0
Bosnia and Herzegovina X 2/21/20,0,0
Bosnia and Herzegovina X 2/22/20,0,0
Bosnia and Herzegovina X 2/23/20,0,0
Bosnia and Herzegovina X 2/24/20,0,0
Bosnia and Herzegovina X 2/25/20,0,0
Bosnia and Herzegovina X 2/26/20,0,0
Bosnia and Herzegovina X 2/27/20,0,0
Bosnia and Herzegovina X 2/28/20,0,0
Bosnia and Herzegovina X 2/29/20,0,0
Bosnia and Herzegovina X 3/1/20,0,0
Bosnia and Herzegovina X 3/2/20,0,0
Bosnia and Herzegovina X 3/3/20,0,0
Bosnia and Herzegovina X 3/4/20,0,0
Bosnia and Herzegovina X 3/5/20,0,2
Brazil X 1/22/20,0,0
Brazil X 1/23/20,0,0
Brazil X 1/24/20,0,0
Brazil X 1/25/20,0,0
Brazil X 1/26/20,0,0
Brazil X 1/27/20,0,0
Brazil X 1/28/20,0,0
Brazil X 1/29/20,0,0
Brazil X 1/30/20,0,0
Brazil X 1/31/20,0,0
Brazil X 2/1/20,0,0
Brazil X 2/2/20,0,0
Brazil X 2/3/20,0,0
Brazil X 2/4/20,0,0
Brazil X 2/5/20,0,0
Brazil X 2/6/20,0,0
Brazil X 2/7/20,0,0
Brazil X 2/8/20,0,0
Brazil X 2/9/20,0,0
Brazil X 2/10/20,0,0
Brazil X 2/11/20,0,0
Brazil X 2/12/20,0,0
Brazil X 2/13/20,0,0
Brazil X 2/14/20,0,0
Brazil X 2/15/20,0,0
Brazil X 2/16/20,0,0
Brazil X 2/17/20,0,0
Brazil X 2/18/20,0,0
Brazil X 2/19/20,0,0
Brazil X 2/20/20,0,0
Brazil X 2/21/20,0,0
Brazil X 2/22/20,0,0
Brazil X 2/23/20,0,0
Brazil X 2/24/20,0,0
Brazil X 2/25/20,0,0
Brazil X 2/26/20,0,1
Brazil X 2/27/20,0,1
Brazil X 2/28/20,0,1
Brazil X 2/29/20,0,2
Brazil X 3/1/20,0,2
Brazil X 3/2/20,0,2
Brazil X 3/3/20,0,2
Brazil X 3/4/20,0,4
Brazil X 3/5/20,0,4
Brunei X 1/22/20,0,0
Brunei X 1/23/20,0,0
Brunei X 1/24/20,0,0
Brunei X 1/25/20,0,0
Brunei X 1/26/20,0,0
Brunei X 1/27/20,0,0
Brunei X 1/28/20,0,0
Brunei X 1/29/20,0,0
Brunei X 1/30/20,0,0
Brunei X 1/31/20,0,0
Brunei X 2/1/20,0,0
Brunei X 2/2/20,0,0
Brunei X 2/3/20,0,0
Brunei X 2/4/20,0,0
Brunei X 2/5/20,0,0
Brunei X 2/6/20,0,0
Brunei X 2/7/20,0,0
Brunei X 2/8/20,0,0
Brunei X 2/9/20,0,0
Brunei X 2/10/20,0,0
Brunei X 2/11/20,0,0
Brunei X 2/12/20,0,0
Brunei X 2/13/20,0,0
Brunei X 2/14/20,0,0
Brunei X 2/15/20,0,0
Brunei X 2/16/20,0,0
Brunei X 2/17/20,0,0
Brunei X 2/18/20,0,0
Brunei X 2/19/20,0,0
Brunei X 2/20/20,0,0
Brunei X 2/21/20,0,0
Brunei X 2/22/20,0,0
Brunei X 2/23/20,0,0
Brunei X 2/24/20,0,0
Brunei X 2/25/20,0,0
Brunei X 2/26/20,0,0
Brunei X 2/27/20,0,0
Brunei X 2/28/20,0,0
Brunei X 2/29/20,0,0
Brunei X 3/1/20,0,0
Brunei X 3/2/20,0,0
Brunei X 3/3/20,0,0
Brunei X 3/4/20,0,0
Brunei X 3/5/20,0,0
Bulgaria X 1/22/20,0,0
Bulgaria X 1/23/20,0,0
Bulgaria X 1/24/20,0,0
Bulgaria X 1/25/20,0,0
Bulgaria X 1/26/20,0,0
Bulgaria X 1/27/20,0,0
Bulgaria X 1/28/20,0,0
Bulgaria X 1/29/20,0,0
Bulgaria X 1/30/20,0,0
Bulgaria X 1/31/20,0,0
Bulgaria X 2/1/20,0,0
Bulgaria X 2/2/20,0,0
Bulgaria X 2/3/20,0,0
Bulgaria X 2/4/20,0,0
Bulgaria X 2/5/20,0,0
Bulgaria X 2/6/20,0,0
Bulgaria X 2/7/20,0,0
Bulgaria X 2/8/20,0,0
Bulgaria X 2/9/20,0,0
Bulgaria X 2/10/20,0,0
Bulgaria X 2/11/20,0,0
Bulgaria X 2/12/20,0,0
Bulgaria X 2/13/20,0,0
Bulgaria X 2/14/20,0,0
Bulgaria X 2/15/20,0,0
Bulgaria X 2/16/20,0,0
Bulgaria X 2/17/20,0,0
Bulgaria X 2/18/20,0,0
Bulgaria X 2/19/20,0,0
Bulgaria X 2/20/20,0,0
Bulgaria X 2/21/20,0,0
Bulgaria X 2/22/20,0,0
Bulgaria X 2/23/20,0,0
Bulgaria X 2/24/20,0,0
Bulgaria X 2/25/20,0,0
