Territory X Date,target,cases,Territory,Date,Continent
Afghanistan X 2/21/20,0,0,Afghanistan,2/21/2020,Asia
Afghanistan X 2/22/20,0,0,Afghanistan,2/22/2020,Asia
Afghanistan X 2/23/20,0,0,Afghanistan,2/23/2020,Asia
Afghanistan X 2/24/20,0,1,Afghanistan,2/24/2020,Asia
Afghanistan X 2/25/20,0,1,Afghanistan,2/25/2020,Asia
Afghanistan X 2/26/20,0,1,Afghanistan,2/26/2020,Asia
Afghanistan X 2/27/20,0,1,Afghanistan,2/27/2020,Asia
Afghanistan X 2/28/20,0,1,Afghanistan,2/28/2020,Asia
Afghanistan X 2/29/20,0,1,Afghanistan,2/29/2020,Asia
Afghanistan X 3/1/20,0,1,Afghanistan,3/1/2020,Asia
Afghanistan X 3/2/20,0,1,Afghanistan,3/2/2020,Asia
Afghanistan X 3/3/20,0,1,Afghanistan,3/3/2020,Asia
Afghanistan X 3/4/20,0,1,Afghanistan,3/4/2020,Asia
Afghanistan X 3/5/20,0,1,Afghanistan,3/5/2020,Asia
Afghanistan X 3/6/20,0,1,Afghanistan,3/6/2020,Asia
Afghanistan X 3/7/20,0,1,Afghanistan,3/7/2020,Asia
Afghanistan X 3/8/20,0,4,Afghanistan,3/8/2020,Asia
Afghanistan X 3/9/20,0,4,Afghanistan,3/9/2020,Asia
Afghanistan X 3/10/20,0,5,Afghanistan,3/10/2020,Asia
Afghanistan X 3/11/20,0,7,Afghanistan,3/11/2020,Asia
Afghanistan X 3/12/20,0,7,Afghanistan,3/12/2020,Asia
Albania X 1/22/20,0,0,Albania,1/22/2020,Europe
Albania X 1/23/20,0,0,Albania,1/23/2020,Europe
Albania X 1/24/20,0,0,Albania,1/24/2020,Europe
Albania X 1/25/20,0,0,Albania,1/25/2020,Europe
Albania X 1/26/20,0,0,Albania,1/26/2020,Europe
Albania X 1/27/20,0,0,Albania,1/27/2020,Europe
Albania X 1/28/20,0,0,Albania,1/28/2020,Europe
Albania X 1/29/20,0,0,Albania,1/29/2020,Europe
Albania X 1/30/20,0,0,Albania,1/30/2020,Europe
Albania X 1/31/20,0,0,Albania,1/31/2020,Europe
Albania X 2/1/20,0,0,Albania,2/1/2020,Europe
Albania X 2/2/20,0,0,Albania,2/2/2020,Europe
Albania X 2/3/20,0,0,Albania,2/3/2020,Europe
Albania X 2/4/20,0,0,Albania,2/4/2020,Europe
Albania X 2/5/20,0,0,Albania,2/5/2020,Europe
Albania X 2/6/20,0,0,Albania,2/6/2020,Europe
Albania X 2/7/20,0,0,Albania,2/7/2020,Europe
Albania X 2/8/20,0,0,Albania,2/8/2020,Europe
Albania X 2/9/20,0,0,Albania,2/9/2020,Europe
Albania X 2/10/20,0,0,Albania,2/10/2020,Europe
Albania X 2/11/20,0,0,Albania,2/11/2020,Europe
Albania X 2/12/20,0,0,Albania,2/12/2020,Europe
Albania X 2/13/20,0,0,Albania,2/13/2020,Europe
Albania X 2/14/20,0,0,Albania,2/14/2020,Europe
Albania X 2/15/20,0,0,Albania,2/15/2020,Europe
Albania X 2/16/20,0,0,Albania,2/16/2020,Europe
Albania X 2/17/20,0,0,Albania,2/17/2020,Europe
Albania X 2/18/20,0,0,Albania,2/18/2020,Europe
Albania X 2/19/20,0,0,Albania,2/19/2020,Europe
Albania X 2/20/20,0,0,Albania,2/20/2020,Europe
Albania X 2/21/20,0,0,Albania,2/21/2020,Europe
Albania X 2/22/20,0,0,Albania,2/22/2020,Europe
Albania X 2/23/20,0,0,Albania,2/23/2020,Europe
Albania X 2/24/20,0,0,Albania,2/24/2020,Europe
Albania X 2/25/20,0,0,Albania,2/25/2020,Europe
Albania X 2/26/20,0,0,Albania,2/26/2020,Europe
Albania X 2/27/20,0,0,Albania,2/27/2020,Europe
Albania X 2/28/20,0,0,Albania,2/28/2020,Europe
Albania X 2/29/20,0,0,Albania,2/29/2020,Europe
Albania X 3/1/20,0,0,Albania,3/1/2020,Europe
Albania X 3/2/20,0,0,Albania,3/2/2020,Europe
Albania X 3/3/20,0,0,Albania,3/3/2020,Europe
Albania X 3/4/20,0,0,Albania,3/4/2020,Europe
Albania X 3/5/20,0,0,Albania,3/5/2020,Europe
Albania X 3/6/20,0,0,Albania,3/6/2020,Europe
Albania X 3/7/20,0,0,Albania,3/7/2020,Europe
Albania X 3/8/20,0,0,Albania,3/8/2020,Europe
Albania X 3/9/20,0,2,Albania,3/9/2020,Europe
Albania X 3/10/20,0,10,Albania,3/10/2020,Europe
Albania X 3/11/20,1,12,Albania,3/11/2020,Europe
Albania X 3/12/20,1,23,Albania,3/12/2020,Europe
Algeria X 1/22/20,0,0,Algeria,1/22/2020,Africa
Algeria X 1/23/20,0,0,Algeria,1/23/2020,Africa
Algeria X 1/24/20,0,0,Algeria,1/24/2020,Africa
Algeria X 1/25/20,0,0,Algeria,1/25/2020,Africa
Algeria X 1/26/20,0,0,Algeria,1/26/2020,Africa
Algeria X 1/27/20,0,0,Algeria,1/27/2020,Africa
Algeria X 1/28/20,0,0,Algeria,1/28/2020,Africa
Algeria X 1/29/20,0,0,Algeria,1/29/2020,Africa
Algeria X 1/30/20,0,0,Algeria,1/30/2020,Africa
Algeria X 1/31/20,0,0,Algeria,1/31/2020,Africa
Algeria X 2/1/20,0,0,Algeria,2/1/2020,Africa
Algeria X 2/2/20,0,0,Algeria,2/2/2020,Africa
Algeria X 2/3/20,0,0,Algeria,2/3/2020,Africa
Algeria X 2/4/20,0,0,Algeria,2/4/2020,Africa
Algeria X 2/5/20,0,0,Algeria,2/5/2020,Africa
Algeria X 2/6/20,0,0,Algeria,2/6/2020,Africa
Algeria X 2/7/20,0,0,Algeria,2/7/2020,Africa
Algeria X 2/8/20,0,0,Algeria,2/8/2020,Africa
Algeria X 2/9/20,0,0,Algeria,2/9/2020,Africa
Algeria X 2/10/20,0,0,Algeria,2/10/2020,Africa
Algeria X 2/11/20,0,0,Algeria,2/11/2020,Africa
Algeria X 2/12/20,0,0,Algeria,2/12/2020,Africa
Algeria X 2/13/20,0,0,Algeria,2/13/2020,Africa
Algeria X 2/14/20,0,0,Algeria,2/14/2020,Africa
Algeria X 2/15/20,0,0,Algeria,2/15/2020,Africa
Algeria X 2/16/20,0,0,Algeria,2/16/2020,Africa
Algeria X 2/17/20,0,0,Algeria,2/17/2020,Africa
Algeria X 2/18/20,0,0,Algeria,2/18/2020,Africa
Algeria X 2/19/20,0,0,Algeria,2/19/2020,Africa
Algeria X 2/20/20,0,0,Algeria,2/20/2020,Africa
Algeria X 2/21/20,0,0,Algeria,2/21/2020,Africa
Algeria X 2/22/20,0,0,Algeria,2/22/2020,Africa
Algeria X 2/23/20,0,0,Algeria,2/23/2020,Africa
Algeria X 2/24/20,0,0,Algeria,2/24/2020,Africa
Algeria X 2/25/20,0,1,Algeria,2/25/2020,Africa
Algeria X 2/26/20,0,1,Algeria,2/26/2020,Africa
Algeria X 2/27/20,0,1,Algeria,2/27/2020,Africa
Algeria X 2/28/20,0,1,Algeria,2/28/2020,Africa
Algeria X 2/29/20,0,1,Algeria,2/29/2020,Africa
Algeria X 3/1/20,0,1,Algeria,3/1/2020,Africa
Algeria X 3/2/20,0,3,Algeria,3/2/2020,Africa
Algeria X 3/3/20,0,5,Algeria,3/3/2020,Africa
Algeria X 3/4/20,0,12,Algeria,3/4/2020,Africa
Algeria X 3/5/20,0,12,Algeria,3/5/2020,Africa
Algeria X 3/6/20,0,17,Algeria,3/6/2020,Africa
Algeria X 3/7/20,0,17,Algeria,3/7/2020,Africa
Algeria X 3/8/20,0,19,Algeria,3/8/2020,Africa
Algeria X 3/9/20,0,20,Algeria,3/9/2020,Africa
Algeria X 3/10/20,0,20,Algeria,3/10/2020,Africa
Algeria X 3/11/20,0,20,Algeria,3/11/2020,Africa
Algeria X 3/12/20,1,24,Algeria,3/12/2020,Africa
Andorra X 1/22/20,0,0,Andorra,1/22/2020,Europe
Andorra X 1/23/20,0,0,Andorra,1/23/2020,Europe
Andorra X 1/24/20,0,0,Andorra,1/24/2020,Europe
Andorra X 1/25/20,0,0,Andorra,1/25/2020,Europe
Andorra X 1/26/20,0,0,Andorra,1/26/2020,Europe
Andorra X 1/27/20,0,0,Andorra,1/27/2020,Europe
Andorra X 1/28/20,0,0,Andorra,1/28/2020,Europe
Andorra X 1/29/20,0,0,Andorra,1/29/2020,Europe
Andorra X 1/30/20,0,0,Andorra,1/30/2020,Europe
Andorra X 1/31/20,0,0,Andorra,1/31/2020,Europe
Andorra X 2/1/20,0,0,Andorra,2/1/2020,Europe
Andorra X 2/2/20,0,0,Andorra,2/2/2020,Europe
Andorra X 2/3/20,0,0,Andorra,2/3/2020,Europe
Andorra X 2/4/20,0,0,Andorra,2/4/2020,Europe
Andorra X 2/5/20,0,0,Andorra,2/5/2020,Europe
Andorra X 2/6/20,0,0,Andorra,2/6/2020,Europe
Andorra X 2/7/20,0,0,Andorra,2/7/2020,Europe
Andorra X 2/8/20,0,0,Andorra,2/8/2020,Europe
Andorra X 2/9/20,0,0,Andorra,2/9/2020,Europe
Andorra X 2/10/20,0,0,Andorra,2/10/2020,Europe
Andorra X 2/11/20,0,0,Andorra,2/11/2020,Europe
Andorra X 2/12/20,0,0,Andorra,2/12/2020,Europe
Andorra X 2/13/20,0,0,Andorra,2/13/2020,Europe
Andorra X 2/14/20,0,0,Andorra,2/14/2020,Europe
Andorra X 2/15/20,0,0,Andorra,2/15/2020,Europe
Andorra X 2/16/20,0,0,Andorra,2/16/2020,Europe
Andorra X 2/17/20,0,0,Andorra,2/17/2020,Europe
Andorra X 2/18/20,0,0,Andorra,2/18/2020,Europe
Andorra X 2/19/20,0,0,Andorra,2/19/2020,Europe
Andorra X 2/20/20,0,0,Andorra,2/20/2020,Europe
Andorra X 2/21/20,0,0,Andorra,2/21/2020,Europe
Andorra X 2/22/20,0,0,Andorra,2/22/2020,Europe
Andorra X 2/23/20,0,0,Andorra,2/23/2020,Europe
Andorra X 2/24/20,0,0,Andorra,2/24/2020,Europe
Andorra X 2/25/20,0,0,Andorra,2/25/2020,Europe
Andorra X 2/26/20,0,0,Andorra,2/26/2020,Europe
Andorra X 2/27/20,0,0,Andorra,2/27/2020,Europe
Andorra X 2/28/20,0,0,Andorra,2/28/2020,Europe
Andorra X 2/29/20,0,0,Andorra,2/29/2020,Europe
Andorra X 3/1/20,0,0,Andorra,3/1/2020,Europe
Andorra X 3/2/20,0,1,Andorra,3/2/2020,Europe
Andorra X 3/3/20,0,1,Andorra,3/3/2020,Europe
Andorra X 3/4/20,0,1,Andorra,3/4/2020,Europe
Andorra X 3/5/20,0,1,Andorra,3/5/2020,Europe
Andorra X 3/6/20,0,1,Andorra,3/6/2020,Europe
Andorra X 3/7/20,0,1,Andorra,3/7/2020,Europe
Andorra X 3/8/20,0,1,Andorra,3/8/2020,Europe
Andorra X 3/9/20,0,1,Andorra,3/9/2020,Europe
Andorra X 3/10/20,0,1,Andorra,3/10/2020,Europe
Andorra X 3/11/20,0,1,Andorra,3/11/2020,Europe
Andorra X 3/12/20,0,1,Andorra,3/12/2020,Europe
Angola X 1/22/20,0,0,Angola,1/22/2020,Africa
Angola X 1/23/20,0,0,Angola,1/23/2020,Africa
Angola X 1/24/20,0,0,Angola,1/24/2020,Africa
Angola X 1/25/20,0,0,Angola,1/25/2020,Africa
Angola X 1/26/20,0,0,Angola,1/26/2020,Africa
Angola X 1/27/20,0,0,Angola,1/27/2020,Africa
Angola X 1/28/20,0,0,Angola,1/28/2020,Africa
Angola X 1/29/20,0,0,Angola,1/29/2020,Africa
Angola X 1/30/20,0,0,Angola,1/30/2020,Africa
Angola X 1/31/20,0,0,Angola,1/31/2020,Africa
Angola X 2/1/20,0,0,Angola,2/1/2020,Africa
Angola X 2/2/20,0,0,Angola,2/2/2020,Africa
Angola X 2/3/20,0,0,Angola,2/3/2020,Africa
Angola X 2/4/20,0,0,Angola,2/4/2020,Africa
Angola X 2/5/20,0,0,Angola,2/5/2020,Africa
Angola X 2/6/20,0,0,Angola,2/6/2020,Africa
Angola X 2/7/20,0,0,Angola,2/7/2020,Africa
Angola X 2/8/20,0,0,Angola,2/8/2020,Africa
Angola X 2/9/20,0,0,Angola,2/9/2020,Africa
Angola X 2/10/20,0,0,Angola,2/10/2020,Africa
Angola X 2/11/20,0,0,Angola,2/11/2020,Africa
Angola X 2/12/20,0,0,Angola,2/12/2020,Africa
Angola X 2/13/20,0,0,Angola,2/13/2020,Africa
Angola X 2/14/20,0,0,Angola,2/14/2020,Africa
Angola X 2/15/20,0,0,Angola,2/15/2020,Africa
Angola X 2/16/20,0,0,Angola,2/16/2020,Africa
Angola X 2/17/20,0,0,Angola,2/17/2020,Africa
Angola X 2/18/20,0,0,Angola,2/18/2020,Africa
Angola X 2/19/20,0,0,Angola,2/19/2020,Africa
Angola X 2/20/20,0,0,Angola,2/20/2020,Africa
Angola X 2/21/20,0,0,Angola,2/21/2020,Africa
Angola X 2/22/20,0,0,Angola,2/22/2020,Africa
Angola X 2/23/20,0,0,Angola,2/23/2020,Africa
Angola X 2/24/20,0,0,Angola,2/24/2020,Africa
Angola X 2/25/20,0,0,Angola,2/25/2020,Africa
Angola X 2/26/20,0,0,Angola,2/26/2020,Africa
Angola X 2/27/20,0,0,Angola,2/27/2020,Africa
Angola X 2/28/20,0,0,Angola,2/28/2020,Africa
Angola X 2/29/20,0,0,Angola,2/29/2020,Africa
Angola X 3/1/20,0,0,Angola,3/1/2020,Africa
Angola X 3/2/20,0,0,Angola,3/2/2020,Africa
Angola X 3/3/20,0,0,Angola,3/3/2020,Africa
Angola X 3/4/20,0,0,Angola,3/4/2020,Africa
Angola X 3/5/20,0,0,Angola,3/5/2020,Africa
Angola X 3/6/20,0,0,Angola,3/6/2020,Africa
Angola X 3/7/20,0,0,Angola,3/7/2020,Africa
Angola X 3/8/20,0,0,Angola,3/8/2020,Africa
Angola X 3/9/20,0,0,Angola,3/9/2020,Africa
Angola X 3/10/20,0,0,Angola,3/10/2020,Africa
Angola X 3/11/20,0,0,Angola,3/11/2020,Africa
Angola X 3/12/20,0,0,Angola,3/12/2020,Africa
Antigua and Barbuda X 1/22/20,0,0,Antigua and Barbuda,1/22/2020,North America
Antigua and Barbuda X 1/23/20,0,0,Antigua and Barbuda,1/23/2020,North America
Antigua and Barbuda X 1/24/20,0,0,Antigua and Barbuda,1/24/2020,North America
Antigua and Barbuda X 1/25/20,0,0,Antigua and Barbuda,1/25/2020,North America
Antigua and Barbuda X 1/26/20,0,0,Antigua and Barbuda,1/26/2020,North America
Antigua and Barbuda X 1/27/20,0,0,Antigua and Barbuda,1/27/2020,North America
Antigua and Barbuda X 1/28/20,0,0,Antigua and Barbuda,1/28/2020,North America
Antigua and Barbuda X 1/29/20,0,0,Antigua and Barbuda,1/29/2020,North America
Antigua and Barbuda X 1/30/20,0,0,Antigua and Barbuda,1/30/2020,North America
Antigua and Barbuda X 1/31/20,0,0,Antigua and Barbuda,1/31/2020,North America
Antigua and Barbuda X 2/1/20,0,0,Antigua and Barbuda,2/1/2020,North America
Antigua and Barbuda X 2/2/20,0,0,Antigua and Barbuda,2/2/2020,North America
Antigua and Barbuda X 2/3/20,0,0,Antigua and Barbuda,2/3/2020,North America
Antigua and Barbuda X 2/4/20,0,0,Antigua and Barbuda,2/4/2020,North America
Antigua and Barbuda X 2/5/20,0,0,Antigua and Barbuda,2/5/2020,North America
Antigua and Barbuda X 2/6/20,0,0,Antigua and Barbuda,2/6/2020,North America
Antigua and Barbuda X 2/7/20,0,0,Antigua and Barbuda,2/7/2020,North America
Antigua and Barbuda X 2/8/20,0,0,Antigua and Barbuda,2/8/2020,North America
Antigua and Barbuda X 2/9/20,0,0,Antigua and Barbuda,2/9/2020,North America
Antigua and Barbuda X 2/10/20,0,0,Antigua and Barbuda,2/10/2020,North America
Antigua and Barbuda X 2/11/20,0,0,Antigua and Barbuda,2/11/2020,North America
Antigua and Barbuda X 2/12/20,0,0,Antigua and Barbuda,2/12/2020,North America
Antigua and Barbuda X 2/13/20,0,0,Antigua and Barbuda,2/13/2020,North America
Antigua and Barbuda X 2/14/20,0,0,Antigua and Barbuda,2/14/2020,North America
Antigua and Barbuda X 2/15/20,0,0,Antigua and Barbuda,2/15/2020,North America
Antigua and Barbuda X 2/16/20,0,0,Antigua and Barbuda,2/16/2020,North America
Antigua and Barbuda X 2/17/20,0,0,Antigua and Barbuda,2/17/2020,North America
Antigua and Barbuda X 2/18/20,0,0,Antigua and Barbuda,2/18/2020,North America
Antigua and Barbuda X 2/19/20,0,0,Antigua and Barbuda,2/19/2020,North America
Antigua and Barbuda X 2/20/20,0,0,Antigua and Barbuda,2/20/2020,North America
Antigua and Barbuda X 2/21/20,0,0,Antigua and Barbuda,2/21/2020,North America
Antigua and Barbuda X 2/22/20,0,0,Antigua and Barbuda,2/22/2020,North America
Antigua and Barbuda X 2/23/20,0,0,Antigua and Barbuda,2/23/2020,North America
Antigua and Barbuda X 2/24/20,0,0,Antigua and Barbuda,2/24/2020,North America
Antigua and Barbuda X 2/25/20,0,0,Antigua and Barbuda,2/25/2020,North America
Antigua and Barbuda X 2/26/20,0,0,Antigua and Barbuda,2/26/2020,North America
Antigua and Barbuda X 2/27/20,0,0,Antigua and Barbuda,2/27/2020,North America
Antigua and Barbuda X 2/28/20,0,0,Antigua and Barbuda,2/28/2020,North America
Antigua and Barbuda X 2/29/20,0,0,Antigua and Barbuda,2/29/2020,North America
Antigua and Barbuda X 3/1/20,0,0,Antigua and Barbuda,3/1/2020,North America
Antigua and Barbuda X 3/2/20,0,0,Antigua and Barbuda,3/2/2020,North America
Antigua and Barbuda X 3/3/20,0,0,Antigua and Barbuda,3/3/2020,North America
Antigua and Barbuda X 3/4/20,0,0,Antigua and Barbuda,3/4/2020,North America
Antigua and Barbuda X 3/5/20,0,0,Antigua and Barbuda,3/5/2020,North America
Antigua and Barbuda X 3/6/20,0,0,Antigua and Barbuda,3/6/2020,North America
Antigua and Barbuda X 3/7/20,0,0,Antigua and Barbuda,3/7/2020,North America
Antigua and Barbuda X 3/8/20,0,0,Antigua and Barbuda,3/8/2020,North America
Antigua and Barbuda X 3/9/20,0,0,Antigua and Barbuda,3/9/2020,North America
Antigua and Barbuda X 3/10/20,0,0,Antigua and Barbuda,3/10/2020,North America
Antigua and Barbuda X 3/11/20,0,0,Antigua and Barbuda,3/11/2020,North America
Antigua and Barbuda X 3/12/20,0,0,Antigua and Barbuda,3/12/2020,North America
Argentina X 1/22/20,0,0,Argentina,1/22/2020,South America
Argentina X 1/23/20,0,0,Argentina,1/23/2020,South America
Argentina X 1/24/20,0,0,Argentina,1/24/2020,South America
Argentina X 1/25/20,0,0,Argentina,1/25/2020,South America
Argentina X 1/26/20,0,0,Argentina,1/26/2020,South America
Argentina X 1/27/20,0,0,Argentina,1/27/2020,South America
Argentina X 1/28/20,0,0,Argentina,1/28/2020,South America
Argentina X 1/29/20,0,0,Argentina,1/29/2020,South America
Argentina X 1/30/20,0,0,Argentina,1/30/2020,South America
Argentina X 1/31/20,0,0,Argentina,1/31/2020,South America
Argentina X 2/1/20,0,0,Argentina,2/1/2020,South America
Argentina X 2/2/20,0,0,Argentina,2/2/2020,South America
Argentina X 2/3/20,0,0,Argentina,2/3/2020,South America
Argentina X 2/4/20,0,0,Argentina,2/4/2020,South America
Argentina X 2/5/20,0,0,Argentina,2/5/2020,South America
Argentina X 2/6/20,0,0,Argentina,2/6/2020,South America
Argentina X 2/7/20,0,0,Argentina,2/7/2020,South America
Argentina X 2/8/20,0,0,Argentina,2/8/2020,South America
Argentina X 2/9/20,0,0,Argentina,2/9/2020,South America
Argentina X 2/10/20,0,0,Argentina,2/10/2020,South America
Argentina X 2/11/20,0,0,Argentina,2/11/2020,South America
Argentina X 2/12/20,0,0,Argentina,2/12/2020,South America
Argentina X 2/13/20,0,0,Argentina,2/13/2020,South America
Argentina X 2/14/20,0,0,Argentina,2/14/2020,South America
Argentina X 2/15/20,0,0,Argentina,2/15/2020,South America
Argentina X 2/16/20,0,0,Argentina,2/16/2020,South America
Argentina X 2/17/20,0,0,Argentina,2/17/2020,South America
Argentina X 2/18/20,0,0,Argentina,2/18/2020,South America
Argentina X 2/19/20,0,0,Argentina,2/19/2020,South America
Argentina X 2/20/20,0,0,Argentina,2/20/2020,South America
Argentina X 2/21/20,0,0,Argentina,2/21/2020,South America
Argentina X 2/22/20,0,0,Argentina,2/22/2020,South America
Argentina X 2/23/20,0,0,Argentina,2/23/2020,South America
Argentina X 2/24/20,0,0,Argentina,2/24/2020,South America
Argentina X 2/25/20,0,0,Argentina,2/25/2020,South America
Argentina X 2/26/20,0,0,Argentina,2/26/2020,South America
Argentina X 2/27/20,0,0,Argentina,2/27/2020,South America
Argentina X 2/28/20,0,0,Argentina,2/28/2020,South America
Argentina X 2/29/20,0,0,Argentina,2/29/2020,South America
Argentina X 3/1/20,0,0,Argentina,3/1/2020,South America
Argentina X 3/2/20,0,0,Argentina,3/2/2020,South America
Argentina X 3/3/20,0,1,Argentina,3/3/2020,South America
Argentina X 3/4/20,0,1,Argentina,3/4/2020,South America
Argentina X 3/5/20,0,1,Argentina,3/5/2020,South America
Argentina X 3/6/20,0,2,Argentina,3/6/2020,South America
Argentina X 3/7/20,0,8,Argentina,3/7/2020,South America
Argentina X 3/8/20,1,12,Argentina,3/8/2020,South America
Argentina X 3/9/20,1,12,Argentina,3/9/2020,South America
Argentina X 3/10/20,1,17,Argentina,3/10/2020,South America
Argentina X 3/11/20,1,19,Argentina,3/11/2020,South America
Argentina X 3/12/20,1,19,Argentina,3/12/2020,South America
Armenia X 1/22/20,0,0,Armenia,1/22/2020,Asia
Armenia X 1/23/20,0,0,Armenia,1/23/2020,Asia
Armenia X 1/24/20,0,0,Armenia,1/24/2020,Asia
Armenia X 1/25/20,0,0,Armenia,1/25/2020,Asia
Armenia X 1/26/20,0,0,Armenia,1/26/2020,Asia
Armenia X 1/27/20,0,0,Armenia,1/27/2020,Asia
Armenia X 1/28/20,0,0,Armenia,1/28/2020,Asia
Armenia X 1/29/20,0,0,Armenia,1/29/2020,Asia
Armenia X 1/30/20,0,0,Armenia,1/30/2020,Asia
Armenia X 1/31/20,0,0,Armenia,1/31/2020,Asia
Armenia X 2/1/20,0,0,Armenia,2/1/2020,Asia
Armenia X 2/2/20,0,0,Armenia,2/2/2020,Asia
Armenia X 2/3/20,0,0,Armenia,2/3/2020,Asia
Armenia X 2/4/20,0,0,Armenia,2/4/2020,Asia
Armenia X 2/5/20,0,0,Armenia,2/5/2020,Asia
Armenia X 2/6/20,0,0,Armenia,2/6/2020,Asia
Armenia X 2/7/20,0,0,Armenia,2/7/2020,Asia
Armenia X 2/8/20,0,0,Armenia,2/8/2020,Asia
Armenia X 2/9/20,0,0,Armenia,2/9/2020,Asia
Armenia X 2/10/20,0,0,Armenia,2/10/2020,Asia
Armenia X 2/11/20,0,0,Armenia,2/11/2020,Asia
Armenia X 2/12/20,0,0,Armenia,2/12/2020,Asia
Armenia X 2/13/20,0,0,Armenia,2/13/2020,Asia
Armenia X 2/14/20,0,0,Armenia,2/14/2020,Asia
Armenia X 2/15/20,0,0,Armenia,2/15/2020,Asia
Armenia X 2/16/20,0,0,Armenia,2/16/2020,Asia
Armenia X 2/17/20,0,0,Armenia,2/17/2020,Asia
Armenia X 2/18/20,0,0,Armenia,2/18/2020,Asia
Armenia X 2/19/20,0,0,Armenia,2/19/2020,Asia
Armenia X 2/20/20,0,0,Armenia,2/20/2020,Asia
Armenia X 2/21/20,0,0,Armenia,2/21/2020,Asia
Armenia X 2/22/20,0,0,Armenia,2/22/2020,Asia
Armenia X 2/23/20,0,0,Armenia,2/23/2020,Asia
Armenia X 2/24/20,0,0,Armenia,2/24/2020,Asia
Armenia X 2/25/20,0,0,Armenia,2/25/2020,Asia
Armenia X 2/26/20,0,0,Armenia,2/26/2020,Asia
Armenia X 2/27/20,0,0,Armenia,2/27/2020,Asia
Armenia X 2/28/20,0,0,Armenia,2/28/2020,Asia
Armenia X 2/29/20,0,0,Armenia,2/29/2020,Asia
Armenia X 3/1/20,0,1,Armenia,3/1/2020,Asia
Armenia X 3/2/20,0,1,Armenia,3/2/2020,Asia
Armenia X 3/3/20,0,1,Armenia,3/3/2020,Asia
Armenia X 3/4/20,0,1,Armenia,3/4/2020,Asia
Armenia X 3/5/20,0,1,Armenia,3/5/2020,Asia
Armenia X 3/6/20,0,1,Armenia,3/6/2020,Asia
Armenia X 3/7/20,0,1,Armenia,3/7/2020,Asia
Armenia X 3/8/20,0,1,Armenia,3/8/2020,Asia
Armenia X 3/9/20,0,1,Armenia,3/9/2020,Asia
Armenia X 3/10/20,0,1,Armenia,3/10/2020,Asia
Armenia X 3/11/20,0,1,Armenia,3/11/2020,Asia
Armenia X 3/12/20,0,4,Armenia,3/12/2020,Asia
Aruba X 1/22/20,0,0,Aruba,1/22/2020,South America
Aruba X 1/23/20,0,0,Aruba,1/23/2020,South America
Aruba X 1/24/20,0,0,Aruba,1/24/2020,South America
Aruba X 1/25/20,0,0,Aruba,1/25/2020,South America
Aruba X 1/26/20,0,0,Aruba,1/26/2020,South America
Aruba X 1/27/20,0,0,Aruba,1/27/2020,South America
Aruba X 1/28/20,0,0,Aruba,1/28/2020,South America
Aruba X 1/29/20,0,0,Aruba,1/29/2020,South America
Aruba X 1/30/20,0,0,Aruba,1/30/2020,South America
Aruba X 1/31/20,0,0,Aruba,1/31/2020,South America
Aruba X 2/1/20,0,0,Aruba,2/1/2020,South America
Aruba X 2/2/20,0,0,Aruba,2/2/2020,South America
